Sex,MaritalStatus,Age,Occupation,Income,YearsinBayArea,DualIncome,NumberInHousehold,NumberOfChildrens,HouseholderStatus,TypeOfHome,Ethnic,Language,Education,Class
M,Single,50,Doctor,90000,20,No,7,2,B,RV,E,Spanish,Other,0
F,Common-Law,40,Cashier,10000,5,Yes,3,7,A,Bunglow,G,French,PhD,0
M,Seperated,45,Engineer,50000,20,Maybe,3,1,C,Apartment,A,French,Diploma,0
F,Divorced,40,Driver,20000,5,Maybe,4,7,C,Bunglow,A,Spanish,Diploma,1
F,Married,25,Engineer,40000,10,Yes,6,3,B,Mansion,C,Spanish,HighSchool,1
M,Single,40,Pilot,30000,10,Yes,9,6,B,Apartment,C,French,PhD,1
M,Divorced,40,Pilot,30000,20,No,9,1,C,Villa,F,English,HighSchool,1
F,Divorced,35,Pilot,60000,5,Yes,9,7,B,RV,D,Spanish,Undergraduate,1
F,Seperated,50,Pilot,40000,20,Yes,4,1,B,Mansion,G,Spanish,Graduate,1
M,Divorced,30,Pilot,90000,5,Maybe,1,9,B,RV,E,French,HighSchool,1
F,Divorced,40,Teacher,30000,5,No,3,3,B,Bunglow,D,English,Undergraduate,1
M,Seperated,50,Cleaner,70000,5,Maybe,6,5,A,Bunglow,A,Spanish,PhD,0
M,Single,40,Doctor,90000,10,Yes,8,1,B,Bunglow,F,English,Graduate,1
M,Common-Law,25,Cashier,80000,20,Maybe,2,3,C,Apartment,A,French,Other,1
M,Common-Law,35,Doctor,60000,20,Yes,6,3,A,Villa,E,French,HighSchool,0
F,Divorced,50,Driver,90000,25,No,2,3,C,Mansion,B,Spanish,Diploma,1
M,Seperated,20,Accountant,70000,10,Maybe,4,4,A,Villa,F,French,HighSchool,0
F,Married,45,Teacher,70000,25,Yes,1,3,B,Apartment,C,French,PhD,0
F,Divorced,35,Cleaner,70000,10,Maybe,9,5,A,RV,H,English,Graduate,1
M,Married,50,Accountant,70000,15,No,7,1,C,Villa,C,French,Undergraduate,0
M,Common-Law,45,Accountant,50000,20,Maybe,1,8,B,Apartment,F,Spanish,PhD,0
F,Married,50,Doctor,10000,15,Maybe,2,2,B,Apartment,C,Spanish,PhD,0
F,Married,30,Driver,80000,20,Yes,4,2,A,Bunglow,B,Spanish,Diploma,1
F,Married,40,Engineer,30000,25,No,2,3,C,Mansion,G,Spanish,Other,1
