Sex,MaritalStatus,Age,Occupation,Income,YearsinBayArea,DualIncome,NumberInHousehold,NumberOfChildrens,HouseholderStatus,TypeOfHome,Ethnic,Language,Education,Class
F,Married,30,Cleaner,70000,15,No,8,1,B,Bunglow,A,English,Other,0
M,Common-Law,40,Teacher,20000,5,Maybe,7,4,C,Villa,G,Spanish,PhD,1
M,Common-Law,50,Driver,10000,5,Yes,8,8,B,Villa,H,French,HighSchool,0
F,Divorced,20,Doctor,30000,15,No,8,8,C,RV,G,English,Graduate,0
M,Seperated,40,Driver,50000,25,Maybe,2,3,A,Apartment,E,English,Other,1
F,Divorced,35,Driver,20000,20,No,2,2,C,RV,E,English,HighSchool,0
F,Single,35,Accountant,90000,20,Yes,1,4,C,RV,C,Spanish,Diploma,1
M,Divorced,30,Cashier,80000,10,No,2,5,A,Villa,A,English,Other,0
F,Seperated,40,Teacher,70000,10,Yes,3,5,C,Apartment,B,Spanish,Diploma,0
M,Married,30,Pilot,90000,20,Yes,4,3,C,Apartment,F,Spanish,Undergraduate,1
F,Divorced,20,Driver,40000,25,Yes,3,9,B,Bunglow,A,Spanish,HighSchool,1
M,Common-Law,35,Doctor,60000,5,Maybe,1,5,C,Villa,E,French,Other,1
F,Seperated,20,Cashier,40000,5,No,5,4,A,Mansion,C,English,Diploma,0
M,Divorced,50,Teacher,40000,5,No,4,4,C,Villa,H,French,Graduate,0
F,Married,30,Student,90000,15,Yes,1,8,C,RV,G,French,Diploma,1
F,Married,40,Cashier,10000,5,No,1,7,C,Mansion,E,Spanish,PhD,0
M,Common-Law,35,Teacher,70000,20,Yes,6,4,B,Apartment,G,Spanish,Graduate,0
M,Seperated,50,Cashier,80000,20,Maybe,1,1,C,RV,A,Spanish,Graduate,1
F,Single,35,Doctor,90000,25,No,2,2,A,Bunglow,F,Spanish,Other,0
M,Single,35,Accountant,10000,5,Maybe,9,2,A,Mansion,H,French,HighSchool,1
F,Seperated,25,Engineer,10000,15,Maybe,5,7,C,Villa,C,English,Graduate,0
F,Single,20,Engineer,60000,10,Yes,1,8,C,Apartment,B,Spanish,Other,0
F,Common-Law,30,Engineer,10000,20,Yes,3,7,A,Bunglow,A,Spanish,Undergraduate,0
F,Divorced,25,Doctor,50000,25,Yes,2,6,C,Mansion,D,French,Other,1
M,Married,30,Doctor,60000,25,Yes,9,8,B,Apartment,C,English,PhD,0
M,Married,50,Cashier,70000,25,No,8,5,C,Bunglow,B,English,Graduate,0
M,Seperated,25,Driver,30000,15,Maybe,8,2,B,RV,A,Spanish,Graduate,0
M,Common-Law,20,Engineer,40000,10,Yes,3,9,C,Bunglow,G,French,Undergraduate,0
M,Common-Law,25,Student,20000,15,Maybe,1,1,A,Bunglow,D,Spanish,Graduate,0
M,Seperated,25,Driver,10000,25,No,3,1,C,Bunglow,C,English,Diploma,0
F,Single,50,Engineer,60000,10,Yes,9,4,A,Bunglow,A,French,Undergraduate,1
M,Divorced,50,Engineer,20000,20,No,8,6,A,Villa,D,French,Graduate,0
F,Single,30,Accountant,20000,5,Maybe,4,6,C,Bunglow,H,Spanish,Graduate,1
