Sex,MaritalStatus,Age,Occupation,Income,YearsinBayArea,DualIncome,NumberInHousehold,NumberOfChildrens,HouseholderStatus,TypeOfHome,Ethnic,Language,Education,Class
M,Single,35,Teacher,20000,10,Yes,4,7,A,Villa,C,Spanish,Undergraduate,0
M,Single,25,Student,40000,10,Maybe,5,2,B,Villa,E,English,PhD,1
M,Divorced,30,Pilot,70000,20,Yes,6,6,A,RV,H,Spanish,Undergraduate,1
F,Common-Law,40,Cleaner,90000,10,No,2,8,A,Bunglow,A,Spanish,Diploma,1
F,Divorced,20,Pilot,80000,15,Yes,4,3,A,RV,C,French,HighSchool,1
M,Seperated,30,Doctor,30000,10,Yes,4,8,A,RV,F,English,Other,1
M,Common-Law,45,Pilot,80000,5,Maybe,5,1,B,Villa,B,Spanish,Undergraduate,1
F,Single,45,Cashier,40000,25,Yes,6,8,B,Mansion,E,French,PhD,0
M,Divorced,25,Cleaner,90000,20,No,6,6,B,Bunglow,B,Spanish,Graduate,1
F,Married,30,Cleaner,70000,20,Maybe,1,2,B,Bunglow,B,English,Graduate,0
F,Common-Law,25,Pilot,60000,10,Maybe,9,3,B,Bunglow,C,Spanish,Graduate,1
M,Common-Law,45,Student,40000,5,Yes,2,9,A,Mansion,E,French,PhD,1
M,Divorced,25,Accountant,70000,15,Maybe,2,9,B,Apartment,E,Spanish,Undergraduate,1
F,Married,20,Cashier,50000,15,Maybe,3,9,B,Mansion,A,Spanish,Other,1
M,Divorced,25,Driver,70000,5,No,2,4,B,Bunglow,A,English,Graduate,0
F,Divorced,45,Student,30000,10,Yes,3,8,A,Villa,C,English,Diploma,1
F,Seperated,25,Cashier,50000,5,Maybe,7,4,A,Mansion,F,Spanish,Diploma,1
M,Single,25,Driver,20000,15,No,9,2,A,Villa,H,French,PhD,0
F,Divorced,25,Doctor,30000,10,Yes,8,4,C,Apartment,C,French,PhD,0
M,Single,20,Cleaner,70000,10,Maybe,6,8,B,Bunglow,F,Spanish,Undergraduate,0
F,Divorced,20,Engineer,60000,5,Yes,5,9,C,RV,C,English,HighSchool,1
F,Seperated,30,Doctor,90000,10,Yes,5,7,B,Villa,G,French,Other,1
M,Common-Law,30,Teacher,90000,10,Yes,9,9,B,Bunglow,F,French,PhD,1
F,Married,40,Cleaner,50000,5,Maybe,3,3,C,Bunglow,A,English,Diploma,0
F,Married,45,Engineer,30000,5,No,1,5,B,Bunglow,G,French,Other,1
M,Married,50,Accountant,30000,5,Maybe,5,4,A,Villa,G,French,Other,0
M,Divorced,50,Pilot,60000,20,No,1,1,B,Apartment,B,French,HighSchool,0
M,Married,20,Accountant,80000,20,No,7,1,B,Bunglow,C,French,Diploma,0
F,Married,35,Teacher,90000,10,No,1,7,B,RV,G,French,Undergraduate,0
F,Divorced,25,Driver,70000,25,Maybe,5,3,B,RV,G,English,Graduate,0
F,Divorced,40,Driver,20000,10,Maybe,6,3,A,Apartment,F,Spanish,Undergraduate,1
M,Single,45,Student,40000,20,Yes,2,8,C,Villa,A,English,Other,1
F,Seperated,20,Doctor,60000,20,Maybe,6,4,C,Bunglow,C,English,PhD,0
F,Seperated,50,Accountant,30000,20,Yes,6,4,C,RV,E,Spanish,PhD,0
F,Common-Law,25,Teacher,80000,25,No,4,2,A,Apartment,F,French,HighSchool,1
M,Seperated,45,Student,10000,20,No,9,6,B,Apartment,G,French,Diploma,1
M,Single,20,Cleaner,60000,10,No,1,9,B,Villa,A,English,Diploma,0
F,Divorced,20,Pilot,80000,10,Maybe,7,9,B,Bunglow,A,Spanish,Other,1
M,Single,45,Cashier,20000,5,Yes,8,7,C,Villa,A,French,Other,1
M,Divorced,40,Pilot,30000,20,Maybe,3,2,B,RV,C,Spanish,Other,0
M,Married,40,Teacher,90000,5,Yes,4,1,A,Apartment,H,English,PhD,1
M,Single,45,Cashier,50000,5,No,1,5,A,Apartment,G,English,Graduate,0
F,Married,20,Teacher,50000,15,Yes,5,7,B,Apartment,B,English,PhD,1
M,Common-Law,40,Student,30000,10,No,6,3,A,RV,C,French,Graduate,1
F,Divorced,30,Cleaner,60000,15,Maybe,1,5,B,Bunglow,F,French,HighSchool,1
M,Common-Law,25,Doctor,50000,15,Yes,6,9,A,Villa,G,English,Graduate,0
F,Seperated,35,Driver,40000,15,No,1,5,C,Bunglow,C,Spanish,Diploma,1
M,Seperated,50,Engineer,90000,25,No,6,6,B,Villa,C,English,Diploma,0
