Sex,MaritalStatus,Age,Occupation,Income,YearsinBayArea,DualIncome,NumberInHousehold,NumberOfChildrens,HouseholderStatus,TypeOfHome,Ethnic,Language,Education,Class
F,Divorced,30,Cashier,80000,5,Maybe,8,8,C,Villa,E,Spanish,Graduate,1
M,Seperated,35,Student,50000,15,Yes,1,6,A,Bunglow,F,English,Diploma,1
F,Divorced,40,Doctor,60000,10,Maybe,1,3,A,RV,D,Spanish,Graduate,1
M,Common-Law,50,Driver,30000,15,Maybe,3,9,A,Villa,E,Spanish,PhD,1
M,Single,40,Pilot,60000,15,No,7,4,C,RV,A,French,Graduate,1
F,Divorced,50,Pilot,70000,10,No,7,6,A,Villa,E,English,PhD,1
M,Single,40,Driver,10000,10,Yes,4,8,B,Bunglow,A,French,HighSchool,0
M,Married,40,Teacher,50000,20,No,9,1,C,Apartment,E,French,Undergraduate,0
M,Divorced,30,Driver,20000,15,Yes,1,9,A,Apartment,H,Spanish,Other,0
F,Common-Law,50,Pilot,80000,20,Yes,1,2,C,Villa,H,English,Other,1
M,Divorced,30,Engineer,80000,10,Yes,4,8,B,Bunglow,A,French,Graduate,1
M,Married,30,Engineer,50000,5,Yes,8,3,A,RV,G,French,Undergraduate,1
F,Divorced,30,Driver,30000,25,Yes,9,7,C,Mansion,A,French,HighSchool,0
F,Single,25,Teacher,20000,10,Maybe,5,1,C,Villa,E,English,Graduate,0
M,Common-Law,30,Cashier,20000,20,Yes,2,9,B,Apartment,G,Spanish,HighSchool,0
M,Married,50,Cleaner,10000,20,Maybe,8,3,B,Villa,H,Spanish,Graduate,1
M,Single,30,Accountant,30000,15,Yes,8,1,C,Apartment,F,English,Undergraduate,1
F,Married,45,Doctor,80000,15,Maybe,5,1,C,RV,A,English,Undergraduate,0
M,Common-Law,40,Pilot,40000,25,Yes,5,2,C,Mansion,A,French,Diploma,1
F,Common-Law,45,Doctor,70000,25,Yes,5,9,B,Apartment,H,French,PhD,1
F,Common-Law,25,Accountant,20000,20,Maybe,8,8,B,Mansion,H,English,HighSchool,1
F,Divorced,45,Cashier,10000,25,No,3,9,B,Bunglow,H,French,Other,0
M,Married,45,Student,10000,10,Yes,3,5,B,Mansion,G,English,HighSchool,1
M,Single,40,Driver,30000,5,No,5,4,C,Villa,F,French,PhD,1
F,Married,20,Pilot,30000,20,Maybe,8,2,C,RV,F,French,Undergraduate,1
M,Seperated,50,Doctor,90000,20,Maybe,9,1,B,Villa,D,Spanish,Other,0
M,Married,30,Doctor,50000,10,Yes,9,3,A,Apartment,A,French,Undergraduate,0
F,Seperated,35,Teacher,40000,15,Yes,3,9,A,Apartment,F,French,PhD,0
F,Seperated,25,Teacher,30000,25,Maybe,1,1,B,Villa,F,French,Graduate,1
M,Seperated,30,Engineer,60000,25,Yes,4,1,B,RV,A,Spanish,Graduate,0
M,Divorced,35,Engineer,10000,15,No,6,4,C,Bunglow,D,French,Diploma,1
M,Single,40,Engineer,20000,10,No,3,8,A,Bunglow,E,English,Undergraduate,1
M,Married,30,Driver,40000,15,Maybe,7,2,A,Apartment,G,English,PhD,1
M,Seperated,20,Doctor,70000,15,No,7,2,C,Mansion,B,English,HighSchool,0
F,Single,50,Engineer,70000,5,Yes,2,3,B,Apartment,E,English,PhD,1
M,Common-Law,30,Accountant,20000,5,Maybe,2,7,C,Mansion,G,Spanish,Undergraduate,1
M,Married,20,Teacher,80000,10,Maybe,2,5,C,Mansion,F,Spanish,HighSchool,0
F,Common-Law,35,Pilot,20000,25,Yes,2,3,C,Bunglow,H,Spanish,Other,1
M,Married,50,Pilot,30000,10,Maybe,5,3,C,Apartment,C,English,PhD,0
M,Seperated,30,Engineer,20000,20,Maybe,1,2,C,Mansion,E,Spanish,Diploma,0
